# Movsim.org example data for fuel consumption modeling
# Source: Ostfalia Hochschule - Institute of Traffic Management http://www.ostfalia.de/cms/en/ifvm
# Wednesday,22,April,2009,12:32:39
# 03G 906 021 KH ,,"R4 1,9L EDC G000SG  8984",,
#,Group A:,'015,,,,Group B:,'006,,,,Group C:, Not Running,,,,,,,Gemessener,,,
#,,UPM,Drehmoment,Kraftstoffverbr,Drehmoment,,Drehzahl,Bin/Bits,Last,Bin/Bits,,,Zeitschritte,Zeit,Zeit,Weg,Geschwindigkeit,Beschleunigung,Verbrauch VAGCOM,,,
#,,UPM,Torque,Fuel Consumption,Torque,,number of rotations,Bin/Bits,Load,Bin/Bits,,,Timestep,Time,Time,Position,Speed,Acceleration,Consumption VAGCOM,,,,,,,,,,,,,,,,,,,,
#,TIME,,,,,TIME,,,,,TIME,,dt,t,t,s,v,a,bs,,v,v
#MARKER, STAMP, /min, Nm, l/h, Nm,STAMP, km/h,,%,,STAMP,,s,h,min,km,km/h,m/s2,l,,km/h,m/s
,51.72,1029,0,0,0,51.95,49,1011,0,0,,,0.45,0.01,0.65,0.45,48,-0.91,0.03,,48.02,13.34
,52.17,966,2.4,0,0,52.39,48,1111,0,0,,,0.45,0.01,0.66,0.46,47,-0.91,0.03,,47.04,13.07
,52.62,840,41.5,0.6,0,52.84,46,1111,0,0,,,0.45,0.01,0.67,0.47,45,-0.92,0.03,,45.08,12.52
,53.07,819,41.5,0.6,0,53.29,45,1111,0,0,,,0.45,0.01,0.67,0.47,44,-0.92,0.03,,44.1,12.25
,53.51,819,41.5,0.6,0,53.74,43,1111,0,0,,,0.44,0.01,0.68,0.48,42,-0.91,0.03,,42.14,11.71
,53.96,819,41.5,0.6,0,54.19,42,1111,0,0,,,0.45,0.01,0.69,0.48,41,-0.91,0.03,,41.16,11.43
,54.41,987,0,0,0,54.63,40,1111,0,0,,,0.45,0.01,0.69,0.49,39,-0.60,0.03,,39.2,10.89
,54.86,1092,0,0,0,55.08,39,1111,0,0,,,0.45,0.01,0.70,0.49,38,-0.31,0.03,,38.22,10.62
,55.31,1050,0,0,0,55.53,38,1100,0,0,,,0.45,0.01,0.71,0.50,37,-0.31,0.03,,37.24,10.34
,55.75,1050,0,0,0,55.98,38,1100,0,0,,,0.44,0.01,0.72,0.50,37,-0.60,0.03,,37.24,10.34
,56.2,1029,0,0,0,56.42,37,1100,0,0,,,0.45,0.01,0.72,0.51,36,-0.30,0.03,,36.26,10.07
,56.65,1008,0,0,0,56.87,36,1000,0,0,,,0.45,0.01,0.73,0.51,35,-0.31,0.03,,35.28,9.80
,57.1,987,0,0,0,57.32,36,1100,0,0,,,0.45,0.01,0.74,0.51,35,-0.31,0.03,,35.28,9.80
,57.54,777,26.8,0.2,0,57.77,35,1100,0,0,,,0.44,0.01,0.75,0.52,34,-0.30,0.03,,34.3,9.53
,57.99,777,41.5,0.6,0,58.22,35,1100,0,0,,,0.45,0.01,0.75,0.52,34,-0.60,0.03,,34.3,9.53
,58.44,1323,0,0,0,58.66,34,1100,0,0,,,0.45,0.01,0.76,0.53,33,-0.30,0.03,,33.32,9.26
,58.89,1302,4.9,0,4.9,59.11,33,1100,7.8,0,,,0.45,0.01,0.77,0.53,32,0.00,0.03,,32.34,8.98
,59.34,1281,31.7,0.8,31.7,59.56,33,1100,8.6,0,,,0.45,0.01,0.78,0.54,32,-0.31,0.03,,32.34,8.98
,59.78,1281,36.6,1,39,60.01,33,1100,10.6,0,,,0.44,0.01,0.78,0.54,32,-0.30,0.03,,32.34,8.98
,60.23,1239,41.5,1,41.5,60.46,32,1100,15.7,0,,,0.45,0.01,0.79,0.54,31,0.30,0.03,,31.36,8.71
,60.68,1239,65.9,1.8,63.4,60.9,32,1100,20,0,,,0.45,0.01,0.80,0.55,31,0.30,0.03,,31.36,8.71
